cgpa,department,programming_skill_score,problem_solving_score,database_skill_score,coding_contest_rating,coding_contest_platform,internships_count,hackathons_participated,freelance_experience,certifications_count,projects_count,github_repos,communication_skill_score,teamwork_score,learning_consistency_score,aptitude_test_score,mock_interview_score,resume_quality_score,leadership_score,extracurricular_score,presentation_skill_score,employability_score,placement_status
4,CSE,100,95,86,1898,HackerRank,3,5,0,4,5,20,92,75,97,100,97,100,95,96,87,96.74,1
2,CSE,10,18,22,334,CodeChef,0,0,0,0,0,3,0,8,1,3,2,17,0,0,0,5.8,0
2.42,CSE,52,43,37,1107,CodeChef,0,1,0,4,3,9,34,23,42,50,42,76,29,29,36,35.47,1
3.34,Civil,61,49,58,1290,Codeforces,0,2,0,2,4,16,61,54,47,54,55,81,50,40,58,55.05,1
3.56,CSE,100,96,100,2187,LeetCode,3,5,1,5,4,18,95,86,100,100,93,100,88,98,98,95,1
3.47,EEE,85,82,80,1773,HackerRank,2,5,1,3,2,10,73,82,88,87,83,90,66,98,82,79.29,1
3.27,CSE,75,81,79,1598,HackerRank,2,2,0,4,4,19,77,70,77,84,76,100,66,34,58,74.92,1
3.09,Pharmacy,40,26,24,500,Codeforces,3,0,0,1,1,4,36,38,21,30,36,76,35,1,35,43.83,0
3.53,EEE,89,78,73,1680,HackerRank,2,2,1,5,5,20,78,69,92,85,78,100,74,42,77,80.09,1
2.78,CSE,54,50,52,1383,CodeChef,0,3,0,2,3,12,43,39,41,40,39,75,31,51,52,43.42,0
3.09,EEE,62,54,50,1392,CodeChef,2,2,0,3,2,7,46,43,45,48,53,79,43,48,43,54.04,0
2.79,EEE,42,30,47,608,CodeChef,2,0,1,3,2,9,43,37,41,40,42,83,28,7,34,45.38,0
3.63,EEE,84,78,65,1813,HackerRank,2,2,0,2,4,17,67,75,76,80,76,100,68,50,70,74.14,1
2.35,EEE,24,29,18,705,LeetCode,0,3,0,1,2,8,27,26,43,30,36,52,22,51,30,28.36,1
3.88,CSE,100,89,93,2018,CodeChef,3,4,0,4,5,20,90,97,98,98,87,100,72,87,85,95.38,1
2.84,EEE,53,46,37,1202,Codeforces,1,2,0,2,4,15,42,47,50,53,50,93,35,38,33,48.15,1
3.05,B.B.A,63,62,39,1124,LeetCode,2,2,0,1,2,6,72,52,59,60,58,83,69,35,69,57.64,1
3.59,CSE,78,78,69,1628,Codeforces,3,2,1,3,4,15,74,57,72,85,73,100,66,36,61,77.98,1
3.43,CSE,85,72,71,1569,LeetCode,1,3,0,3,4,16,69,75,90,73,77,100,67,69,79,70.84,1
2.54,CSE,38,48,38,778,LeetCode,2,2,0,1,3,12,37,31,30,35,36,85,34,40,26,38.38,0
3.35,CSE,62,67,53,1259,HackerRank,0,5,0,4,4,19,73,53,70,71,66,100,55,89,54,63.95,1
3.81,B.B.A,82,73,72,1754,HackerRank,1,3,1,3,5,20,81,79,82,76,81,100,85,65,84,79.71,1
3.43,B.B.A,60,54,54,1399,Codeforces,1,2,0,2,4,17,70,56,65,59,68,100,81,42,80,62.59,0
2.6,Pharmacy,26,36,18,692,LeetCode,0,1,0,2,3,11,44,24,30,24,40,65,28,30,30,30.39,1
2.96,CSE,51,42,35,1076,LeetCode,1,1,0,2,0,1,43,52,47,45,39,33,24,31,38,38.75,0
2.65,CSE,64,56,58,1167,Codeforces,2,4,0,2,3,10,52,40,56,54,49,88,41,62,36,53.33,1
3.7,CSE,83,83,76,1937,CodeChef,2,2,1,4,3,13,81,75,77,83,85,100,73,55,79,80.7,1
3.88,CSE,100,97,88,2149,HackerRank,1,2,1,3,5,20,93,88,100,100,96,100,80,40,85,92.38,1
3.46,CSE,93,92,88,2209,CodeChef,1,5,0,3,5,20,90,84,99,100,86,100,69,90,78,85.7,1
3.04,EEE,66,62,53,1415,HackerRank,1,2,0,2,4,17,52,60,66,69,58,95,54,41,56,58.42,1
2.25,EEE,38,28,28,642,HackerRank,0,4,0,1,2,8,23,40,23,25,19,55,15,51,16,24.73,0
3.84,CSE,100,92,81,1762,HackerRank,3,1,1,2,3,15,85,78,87,89,83,100,93,31,82,89.34,1
4,English,83,78,78,2200,CodeChef,3,2,1,4,3,13,100,84,82,87,94,100,94,53,92,91.9,1
3.17,EEE,65,64,54,1429,CodeChef,1,3,0,2,2,10,57,48,63,60,57,73,48,45,54,55.52,0
3.63,CSE,85,87,64,1965,LeetCode,3,2,0,3,5,20,72,76,78,80,82,100,80,45,82,81.82,1
4,CSE,100,100,85,2368,HackerRank,3,3,1,4,5,20,92,76,97,100,96,100,94,73,89,97.4,1
2.1,CSE,19,14,23,493,LeetCode,0,1,1,0,0,0,6,0,18,16,11,8,13,20,0,12.66,0
3.76,CSE,87,76,68,2152,LeetCode,3,2,1,5,3,13,86,72,80,84,86,100,74,55,74,85.97,1
2,EEE,15,19,22,92,HackerRank,0,0,0,0,1,3,10,11,18,26,17,36,13,7,13,13.93,0
3.32,EEE,72,57,47,1631,LeetCode,2,2,1,4,4,17,64,62,61,58,61,100,41,35,39,64.36,1
2.16,CSE,13,23,13,666,Codeforces,0,2,0,0,1,3,16,19,12,14,11,20,22,26,8,13.3,0
3.28,EEE,63,64,69,1937,HackerRank,1,5,1,3,4,15,68,69,69,73,73,95,63,87,76,70.25,1
2.41,EEE,19,20,26,389,Codeforces,1,0,0,2,1,3,7,20,3,21,19,39,20,10,19,20.91,0
3.29,CSE,82,74,65,1521,LeetCode,2,2,1,3,4,15,68,59,66,63,64,100,57,42,62,68.24,1
3.02,CSE,75,63,60,1437,HackerRank,2,3,0,1,4,16,62,64,61,70,65,100,57,60,71,66.46,1
3.91,EEE,93,84,83,1804,HackerRank,2,3,1,5,4,17,91,78,90,84,76,100,75,57,69,87.5,1
3.12,CSE,84,72,66,1616,Codeforces,2,3,0,3,4,16,64,65,83,85,73,100,65,47,59,70.26,1
2.6,CSE,43,34,33,848,HackerRank,1,2,0,0,3,14,28,15,30,37,39,72,30,20,21,37.01,0
3.88,CSE,100,100,86,2094,LeetCode,1,4,0,5,5,20,88,90,94,95,95,100,72,85,100,86.44,1
2.38,B.B.A,13,9,14,0,HackerRank,0,3,0,0,1,2,19,16,9,8,12,14,10,42,18,15.76,0
2.24,CSE,30,21,13,266,CodeChef,0,1,0,1,1,4,18,12,25,14,17,29,8,8,20,16.69,0
3.82,EEE,91,90,81,1761,LeetCode,2,5,1,3,3,16,87,91,87,84,79,100,77,92,75,85.68,1
2.43,CSE,26,25,13,360,Codeforces,0,0,1,0,2,8,24,12,15,8,19,37,2,0,14,18.75,0
2.17,CSE,12,14,0,166,Codeforces,2,1,0,1,2,8,5,9,9,10,9,86,5,4,3,16.07,0
3.44,EEE,80,69,69,1824,LeetCode,2,2,1,4,3,13,76,67,79,76,75,100,45,45,70,75.24,1
2.95,CSE,56,64,57,1025,LeetCode,1,2,0,2,3,10,59,60,63,61,57,74,53,44,59,55.32,1
3.43,B.B.A,75,59,58,1315,HackerRank,2,1,1,4,4,17,79,76,75,66,66,100,80,38,65,66.82,0
3.28,EEE,70,64,58,1613,Codeforces,1,2,0,2,2,8,60,57,56,66,62,70,48,36,59,59.9,1
3.24,CSE,85,72,89,1692,Codeforces,2,2,1,2,5,20,66,64,81,79,71,100,73,40,71,76.22,1
2.24,B.B.A,11,10,18,29,CodeChef,0,2,0,0,0,0,26,17,8,5,21,11,37,27,19,12.91,0
